算子,算子,算子
ones,floor,nonzero
ons_like,ceil,isfinite
full,round,isinf
full_like,sort,isnan
zeros,argosrt,isneginf
zeros_like,topK,isposinf
arange,argtopK,logical_and
linspace,add,logical_or
logspace,sub,logical_not
eye,mul,logical_xor
randu,divide,greater
randn,sums,greater_equal
tiru,cumsum,less
tril,mean,less_equal
__getitem__,median,equal
__setitem__,std,not_equal
concatenate,var,Conv2D
stack,matmul,Conv1D
permute,reciprocal,ConvT2D
transpose,sign,Linear
tile,neg,Sigmoid
squeeze,exp,Softplus
unsqueeze,acos,Softsign
swapaxis,asin,Softmax
masked_fill,atan,HardSigmoid
flatten,sin,ReLu
reshape,cos,LeakyReLu
flip,tan,ELU
maximum,tanh,Tanh
minimum,sinh,BatchNorm2d
min,cosh,BatchNorm1d
max,power,Dropout
clip,abs,Embedding
where,log,LayerNormNd
,sqrt,LayerNorm1d
,square,LayerNorm2d
,frobenius_norm,MaxPool1D
,log_softmax,MaxPool2D
,,AvgPool2D
,,AvgPool1D
,,GRU
,,LSTM
,,RNN
